order_number,order_date,financial_status,fulfillment_status,country,province,city,customer_ref,product_title,product_type,vendor,sku,variant_title,quantity,unit_price,line_discount,line_total,order_total,currency,source_name
#2239,2025-12-10,paid,fulfilled,France,Île-de-France,Versailles,cust_00634,Stone Quilted Bedspread,Bedding,Nordic Sleep,SKU-0029-02,,2,33.99,0,67.98,100.31,EUR,web
#1640,2025-10-22,paid,fulfilled,Portugal,Porto,Braga,cust_00270,Brass Wall Art Print,Decor,Casa Bonita,SKU-0044-01,Natural,1,23.35,0,23.35,89.61,EUR,web
#1640,2025-10-22,paid,fulfilled,Portugal,Porto,Braga,cust_00270,Walnut Mattress Topper,Bedding,Nordic Sleep,SKU-0022-02,,1,62.76,12.05,50.71,89.61,EUR,web
#3325,2026-04-27,refunded,fulfilled,Spain,Galicia,A Coruña,cust_01158,Brass Ceramic Vase,Decor,Casa Bonita,SKU-0049-01,,1,16.22,1.05,15.17,18.36,EUR,web
#3291,2026-04-22,refunded,fulfilled,France,Île-de-France,Paris,cust_00645,Bamboo Bookend Pair,Decor,Casa Bonita,SKU-0047-01,,1,14.92,0,14.92,51.52,EUR,web
#3291,2026-04-22,refunded,fulfilled,France,Île-de-France,Paris,cust_00645,Stone Robe,Bath,Pure Bath,SKU-0055-02,Small,1,27.66,0,27.66,51.52,EUR,web
#1486,2025-10-06,paid,fulfilled,France,Occitanie,Montpellier,cust_00652,Stone Robe,Bath,Pure Bath,SKU-0055-01,Natural,1,27.66,0,27.66,33.47,EUR,mobile
#3676,2026-06-13,refunded,fulfilled,Netherlands,Noord-Holland,Haarlem,cust_00904,Ceramic Cast Iron Pan,Kitchen,Aurora Kitchen,SKU-0004-01,,1,22.58,0,22.58,200.11,EUR,web
#3676,2026-06-13,refunded,fulfilled,Netherlands,Noord-Holland,Haarlem,cust_00904,Stone Espresso Mug,Kitchen,Aurora Kitchen,SKU-0005-02,,2,17.01,0,34.02,200.11,EUR,web
#3676,2026-06-13,refunded,fulfilled,Netherlands,Noord-Holland,Haarlem,cust_00904,Terracotta Pendant Light,Lighting,Lumen Co,SKU-0038-03,Medium,2,38.48,0,76.96,200.11,EUR,web
#3676,2026-06-13,refunded,fulfilled,Netherlands,Noord-Holland,Haarlem,cust_00904,Marble Bath Mat,Bath,Pure Bath,SKU-0052-04,,1,31.82,0,31.82,200.11,EUR,web
#3753,2026-06-23,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00394,Stone Quilted Bedspread,Bedding,Nordic Sleep,SKU-0029-01,Large,1,33.99,4.97,29.02,35.11,EUR,web
#3343,2026-04-30,paid,fulfilled,Spain,Madrid,Alcalá de Henares,cust_00310,Copper Scented Candle,Decor,Casa Bonita,SKU-0045-01,,1,8.24,0,8.24,64.98,EUR,mobile
#3343,2026-04-30,paid,fulfilled,Spain,Madrid,Alcalá de Henares,cust_00310,Ceramic Cast Iron Pan,Kitchen,Aurora Kitchen,SKU-0004-02,,1,22.58,0,22.58,64.98,EUR,mobile
#3343,2026-04-30,paid,fulfilled,Spain,Madrid,Alcalá de Henares,cust_00310,Marble Bath Towel Set,Bath,Pure Bath,SKU-0057-03,,1,25.7,2.82,22.88,64.98,EUR,mobile
#2505,2025-12-29,paid,fulfilled,Netherlands,Zuid-Holland,Rotterdam,cust_00131,Bamboo Bookend Pair,Decor,Casa Bonita,SKU-0047-01,,1,14.92,0,14.92,18.05,EUR,web
#2971,2026-03-07,paid,fulfilled,Portugal,Lisboa,Lisboa,cust_00570,Terracotta Woven Basket,Decor,Casa Bonita,SKU-0043-01,,1,17.85,0,17.85,21.6,EUR,web
#1894,2025-11-14,partially_refunded,fulfilled,Spain,Valencia,Valencia,cust_00099,Brass Wall Art Print,Decor,Casa Bonita,SKU-0044-01,,1,23.35,0,23.35,28.25,EUR,web
#2448,2025-12-25,paid,fulfilled,Spain,Andalucía,Málaga,cust_00242,Brass Ceramic Vase,Decor,Casa Bonita,SKU-0049-01,,1,16.22,0,16.22,193.49,EUR,web
#2448,2025-12-25,paid,fulfilled,Spain,Andalucía,Málaga,cust_00242,Oak Chef Knife,Kitchen,Aurora Kitchen,SKU-0001-02,,1,24.54,0,24.54,193.49,EUR,web
#2448,2025-12-25,paid,fulfilled,Spain,Andalucía,Málaga,cust_00242,Stone Serving Platter,Kitchen,Aurora Kitchen,SKU-0010-03,,1,28.1,0,28.1,193.49,EUR,web
#2448,2025-12-25,paid,fulfilled,Spain,Andalucía,Málaga,cust_00242,Linen Reading Light,Lighting,Lumen Co,SKU-0036-04,,3,30.35,0,91.05,193.49,EUR,web
#1122,2025-08-19,paid,fulfilled,Portugal,Porto,Braga,cust_01140,Ceramic Shower Curtain,Bath,Pure Bath,SKU-0054-01,,1,32.3,0,32.3,39.08,EUR,mobile
#1679,2025-10-26,paid,fulfilled,Spain,Valencia,Alicante,cust_00873,Marble Bath Mat,Bath,Pure Bath,SKU-0052-01,Natural,1,31.82,0,31.82,75.23,EUR,web
#1679,2025-10-26,paid,fulfilled,Spain,Valencia,Alicante,cust_00873,Linen Reading Light,Lighting,Lumen Co,SKU-0036-02,,1,30.35,0,30.35,75.23,EUR,web
#1028,2025-08-05,refunded,fulfilled,Portugal,Porto,Porto,cust_00609,Marble Bath Mat,Bath,Pure Bath,SKU-0052-01,,2,31.82,0,63.64,77,EUR,pos
#2708,2026-01-26,partially_refunded,fulfilled,Portugal,Lisboa,Cascais,cust_00469,Walnut Linen Duvet,Bedding,Nordic Sleep,SKU-0017-01,,1,44.07,0,44.07,53.32,EUR,web
#1209,2025-08-31,paid,fulfilled,Spain,Madrid,Madrid,cust_00774,Marble Bath Towel Set,Bath,Pure Bath,SKU-0057-01,,1,25.7,4.98,20.72,141.21,EUR,web
#1209,2025-08-31,paid,fulfilled,Spain,Madrid,Madrid,cust_00774,Terracotta Pendant Light,Lighting,Lumen Co,SKU-0038-02,Small,1,38.48,0,38.48,141.21,EUR,web
#1209,2025-08-31,paid,fulfilled,Spain,Madrid,Madrid,cust_00774,Brass Floor Lamp,Lighting,Lumen Co,SKU-0039-03,,1,57.5,0,57.5,141.21,EUR,web
#1370,2025-09-21,paid,fulfilled,Portugal,Porto,Porto,cust_00403,Linen Ceramic Vase,Decor,Casa Bonita,SKU-0041-01,,1,37.99,0,37.99,94.51,EUR,web
#1370,2025-09-21,paid,fulfilled,Portugal,Porto,Porto,cust_00403,Ceramic Cast Iron Pan,Kitchen,Aurora Kitchen,SKU-0014-02,,1,40.12,0,40.12,94.51,EUR,web
#2965,2026-03-06,paid,fulfilled,Spain,Galicia,A Coruña,cust_00897,Bamboo Picture Frame,Decor,Casa Bonita,SKU-0042-01,,2,32.28,0,64.56,130.89,EUR,web
#2965,2026-03-06,paid,fulfilled,Spain,Galicia,A Coruña,cust_00897,Brass Candle Holder,Lighting,Lumen Co,SKU-0034-02,,1,43.61,0,43.61,130.89,EUR,web
#3686,2026-06-15,paid,fulfilled,France,Provence,Nice,cust_01000,Walnut Soap Dispenser,Bath,Pure Bath,SKU-0053-01,,1,31.22,0,31.22,113,EUR,web
#3686,2026-06-15,paid,fulfilled,France,Provence,Nice,cust_01000,Linen Reading Light,Lighting,Lumen Co,SKU-0036-02,,1,30.35,0,30.35,113,EUR,web
#3686,2026-06-15,paid,fulfilled,France,Provence,Nice,cust_01000,Marble Bath Mat,Bath,Pure Bath,SKU-0052-03,,1,31.82,0,31.82,113,EUR,web
#3217,2026-04-13,paid,fulfilled,Italy,Lombardia,Milano,cust_00989,Bamboo Picture Frame,Decor,Casa Bonita,SKU-0042-01,,1,32.28,0,32.28,87.68,EUR,web
#3217,2026-04-13,paid,fulfilled,Italy,Lombardia,Milano,cust_00989,Ceramic Pillow Case Pair,Bedding,Nordic Sleep,SKU-0028-02,Natural,1,43.58,3.4,40.18,87.68,EUR,web
#3407,2026-05-09,paid,fulfilled,Spain,Valencia,Alicante,cust_00731,Brass Wall Art Print,Decor,Casa Bonita,SKU-0044-01,,1,23.35,0,23.35,28.25,EUR,web
#3290,2026-04-22,paid,fulfilled,France,Provence,Nice,cust_00070,Marble Cotton Sheet Set,Bedding,Nordic Sleep,SKU-0026-01,,1,66.77,0,66.77,96.73,EUR,web
#3290,2026-04-22,paid,fulfilled,France,Provence,Nice,cust_00070,Marble Cutting Board,Kitchen,Aurora Kitchen,SKU-0002-02,,1,13.17,0,13.17,96.73,EUR,web
#2991,2026-03-10,paid,fulfilled,Netherlands,Noord-Holland,Amsterdam,cust_00464,Bamboo Floor Lamp,Lighting,Lumen Co,SKU-0032-01,,1,46.35,0,46.35,56.08,EUR,web
#2478,2025-12-28,paid,fulfilled,Portugal,Porto,Braga,cust_00568,Terracotta Woven Basket,Decor,Casa Bonita,SKU-0043-01,Large,1,17.85,0,17.85,21.6,EUR,pos
#2978,2026-03-08,paid,fulfilled,Germany,Berlin,Berlin,cust_00828,Ceramic Cast Iron Pan,Kitchen,Aurora Kitchen,SKU-0004-01,,3,22.58,5.76,61.98,75,EUR,mobile
#3556,2026-05-27,partially_refunded,fulfilled,Spain,Cataluña,Girona,cust_00278,Bamboo Bookend Pair,Decor,Casa Bonita,SKU-0047-01,,2,14.92,0,29.84,36.11,EUR,web
#2269,2025-12-12,paid,fulfilled,Spain,Valencia,Alicante,cust_00632,Brass Wall Art Print,Decor,Casa Bonita,SKU-0044-01,,1,23.35,0,23.35,28.25,EUR,web
#3949,2026-07-22,paid,unfulfilled,Germany,Hamburg,Hamburg,cust_01175,Ceramic Cast Iron Pan,Kitchen,Aurora Kitchen,SKU-0004-01,,1,22.58,0,22.58,27.32,EUR,mobile
#1103,2025-08-15,paid,fulfilled,Portugal,Porto,Braga,cust_00095,Ceramic Cast Iron Pan,Kitchen,Aurora Kitchen,SKU-0004-01,,1,22.58,1.48,21.1,42.39,EUR,web
#1103,2025-08-15,paid,fulfilled,Portugal,Porto,Braga,cust_00095,Ceramic Tea Kettle,Kitchen,Aurora Kitchen,SKU-0009-02,,1,13.93,0,13.93,42.39,EUR,web
#2182,2025-12-06,paid,fulfilled,France,Provence,Nice,cust_00939,Walnut Linen Duvet,Bedding,Nordic Sleep,SKU-0017-01,Medium,1,44.07,4.26,39.81,48.17,EUR,web
#3257,2026-04-19,paid,fulfilled,Spain,Andalucía,Málaga,cust_00819,Oak Linen Duvet,Bedding,Nordic Sleep,SKU-0025-01,,1,28.38,0,28.38,34.34,EUR,web
#1121,2025-08-19,paid,fulfilled,Netherlands,Noord-Holland,Haarlem,cust_00135,Bamboo Picture Frame,Decor,Casa Bonita,SKU-0042-01,,1,32.28,2.94,29.34,69.84,EUR,pos
#1121,2025-08-19,paid,fulfilled,Netherlands,Noord-Holland,Haarlem,cust_00135,Oak Linen Duvet,Bedding,Nordic Sleep,SKU-0025-02,Medium,1,28.38,0,28.38,69.84,EUR,pos
#2375,2025-12-20,paid,fulfilled,Portugal,Lisboa,Lisboa,cust_00996,Terracotta Outdoor Cushion,Outdoor,Terra Garden,SKU-0060-01,Small,1,23.39,4.04,19.35,23.41,EUR,mobile
#3440,2026-05-12,paid,fulfilled,Spain,Andalucía,Málaga,cust_00980,Stone Bed Runner,Bedding,Nordic Sleep,SKU-0024-01,,1,47.82,0,47.82,57.86,EUR,web
#3660,2026-06-11,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00941,Stone Quilted Bedspread,Bedding,Nordic Sleep,SKU-0029-01,,2,33.99,0,67.98,82.26,EUR,web
#1105,2025-08-15,paid,fulfilled,Italy,Lombardia,Bergamo,cust_00914,Terracotta Woven Basket,Decor,Casa Bonita,SKU-0043-01,,1,17.85,0,17.85,21.6,EUR,web
#1012,2025-08-02,partially_refunded,fulfilled,France,Occitanie,Toulouse,cust_00866,Stone Quilted Bedspread,Bedding,Nordic Sleep,SKU-0029-01,Medium,1,33.99,0,33.99,150.34,EUR,web
#1012,2025-08-02,partially_refunded,fulfilled,France,Occitanie,Toulouse,cust_00866,Marble Bath Towel Set,Bath,Pure Bath,SKU-0057-02,,1,25.7,0,25.7,150.34,EUR,web
#1012,2025-08-02,partially_refunded,fulfilled,France,Occitanie,Toulouse,cust_00866,Bamboo Picture Frame,Decor,Casa Bonita,SKU-0042-03,,2,32.28,0,64.56,150.34,EUR,web
#3703,2026-06-17,paid,fulfilled,Spain,País Vasco,Bilbao,cust_00315,Marble Bath Towel Set,Bath,Pure Bath,SKU-0057-01,,3,25.7,0,77.1,139.85,EUR,web
#3703,2026-06-17,paid,fulfilled,Spain,País Vasco,Bilbao,cust_00315,Terracotta Pendant Light,Lighting,Lumen Co,SKU-0038-02,,1,38.48,0,38.48,139.85,EUR,web
#3112,2026-03-29,paid,fulfilled,Portugal,Lisboa,Lisboa,cust_00848,Bamboo Bookend Pair,Decor,Casa Bonita,SKU-0047-01,,2,14.92,0,29.84,61.73,EUR,web
#3112,2026-03-29,paid,fulfilled,Portugal,Lisboa,Lisboa,cust_00848,Terracotta Outdoor Cushion,Outdoor,Terra Garden,SKU-0060-02,Small,1,23.39,2.21,21.18,61.73,EUR,web
#2726,2026-01-28,paid,fulfilled,Spain,Madrid,Alcalá de Henares,cust_00074,Linen Planter Pot,Outdoor,Terra Garden,SKU-0058-01,Medium,2,32.68,5.47,59.89,72.47,EUR,web
#2970,2026-03-07,paid,fulfilled,France,Provence,Marseille,cust_00530,Marble Bath Mat,Bath,Pure Bath,SKU-0052-01,Small,2,31.82,0,63.64,238.59,EUR,mobile
#2970,2026-03-07,paid,fulfilled,France,Provence,Marseille,cust_00530,Marble Cotton Sheet Set,Bedding,Nordic Sleep,SKU-0026-02,Charcoal,2,66.77,0,133.54,238.59,EUR,mobile
#1215,2025-09-01,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00263,Bamboo Picture Frame,Decor,Casa Bonita,SKU-0042-01,,1,32.28,0,32.28,76.02,EUR,web
#1215,2025-09-01,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00263,Linen Ceramic Vase,Decor,Casa Bonita,SKU-0041-02,,1,37.99,7.44,30.55,76.02,EUR,web
#1300,2025-09-11,paid,fulfilled,France,Provence,Marseille,cust_00579,Marble Cutting Board,Kitchen,Aurora Kitchen,SKU-0002-01,,2,13.17,0,26.34,113.75,EUR,web
#1300,2025-09-11,paid,fulfilled,France,Provence,Marseille,cust_00579,Stone Espresso Mug,Kitchen,Aurora Kitchen,SKU-0005-02,,1,17.01,0,17.01,113.75,EUR,web
#1300,2025-09-11,paid,fulfilled,France,Provence,Marseille,cust_00579,Brass Floor Lamp,Lighting,Lumen Co,SKU-0039-03,,1,57.5,6.84,50.66,113.75,EUR,web
#1780,2025-11-05,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00660,Marble Cutting Board,Kitchen,Aurora Kitchen,SKU-0002-01,,2,13.17,0,26.34,94.07,EUR,web
#1780,2025-11-05,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00660,Marble Bath Towel Set,Bath,Pure Bath,SKU-0057-02,,2,25.7,0,51.4,94.07,EUR,web
#3149,2026-04-03,paid,fulfilled,Italy,Lombardia,Milano,cust_00690,Marble Cutting Board,Kitchen,Aurora Kitchen,SKU-0002-01,,1,13.17,0,13.17,83.76,EUR,web
#3149,2026-04-03,paid,fulfilled,Italy,Lombardia,Milano,cust_00690,Linen Reading Light,Lighting,Lumen Co,SKU-0036-02,Medium,1,30.35,0,30.35,83.76,EUR,web
#3149,2026-04-03,paid,fulfilled,Italy,Lombardia,Milano,cust_00690,Marble Bath Towel Set,Bath,Pure Bath,SKU-0057-03,,1,25.7,0,25.7,83.76,EUR,web
#2406,2025-12-22,paid,fulfilled,Spain,Galicia,A Coruña,cust_00839,Marble Bath Mat,Bath,Pure Bath,SKU-0052-01,,1,31.82,0,31.82,38.5,EUR,mobile
#2085,2025-11-30,paid,fulfilled,Portugal,Lisboa,Cascais,cust_00374,Walnut Mixing Bowl,Kitchen,Aurora Kitchen,SKU-0008-01,,1,38.08,3.94,34.14,118.62,EUR,web
#2085,2025-11-30,paid,fulfilled,Portugal,Lisboa,Cascais,cust_00374,Walnut Wool Throw,Bedding,Nordic Sleep,SKU-0027-02,,1,63.89,0,63.89,118.62,EUR,web
#2009,2025-11-23,paid,fulfilled,France,Provence,Marseille,cust_00213,Brass Ceramic Vase,Decor,Casa Bonita,SKU-0049-01,,1,16.22,0,16.22,38.01,EUR,web
#2009,2025-11-23,paid,fulfilled,France,Provence,Marseille,cust_00213,Copper Wall Mirror,Decor,Casa Bonita,SKU-0040-02,,1,15.19,0,15.19,38.01,EUR,web
#2334,2025-12-17,paid,fulfilled,Netherlands,Noord-Holland,Haarlem,cust_00904,Terracotta Woven Basket,Decor,Casa Bonita,SKU-0043-01,Small,2,17.85,0,35.7,236.41,EUR,pos
#2334,2025-12-17,paid,fulfilled,Netherlands,Noord-Holland,Haarlem,cust_00904,Stone Bed Runner,Bedding,Nordic Sleep,SKU-0024-02,,3,47.82,0,143.46,236.41,EUR,pos
#2334,2025-12-17,paid,fulfilled,Netherlands,Noord-Holland,Haarlem,cust_00904,Brass Ceramic Vase,Decor,Casa Bonita,SKU-0049-03,,1,16.22,0,16.22,236.41,EUR,pos
#3057,2026-03-19,paid,fulfilled,Italy,Lombardia,Bergamo,cust_00780,Brass Ceramic Vase,Decor,Casa Bonita,SKU-0049-01,,2,16.22,3.91,28.53,34.52,EUR,web
#1762,2025-11-03,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00998,Terracotta Pendant Light,Lighting,Lumen Co,SKU-0038-01,Medium,1,38.48,0,38.48,59.5,EUR,web
#1762,2025-11-03,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00998,Marble Cutting Board,Kitchen,Aurora Kitchen,SKU-0002-02,,1,13.17,2.48,10.69,59.5,EUR,web
#3266,2026-04-19,paid,fulfilled,Spain,Madrid,Alcalá de Henares,cust_00751,Linen Reading Light,Lighting,Lumen Co,SKU-0036-01,Charcoal,1,30.35,0,30.35,36.72,EUR,web
#2367,2025-12-19,paid,fulfilled,France,Occitanie,Toulouse,cust_01139,Linen Table Runner,Decor,Casa Bonita,SKU-0046-01,Medium,2,22.74,0,45.48,55.03,EUR,mobile
#2278,2025-12-13,paid,fulfilled,Italy,Lombardia,Milano,cust_00191,Stone Espresso Mug,Kitchen,Aurora Kitchen,SKU-0005-01,Medium,2,17.01,0,34.02,41.16,EUR,web
#2110,2025-12-01,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00661,Brass Candle Holder,Lighting,Lumen Co,SKU-0034-01,,1,43.61,0,43.61,52.77,EUR,web
#3935,2026-07-20,partially_refunded,unfulfilled,France,Occitanie,Montpellier,cust_00330,Terracotta Woven Basket,Decor,Casa Bonita,SKU-0043-01,,1,17.85,0,17.85,21.6,EUR,web
#1417,2025-09-27,paid,fulfilled,Germany,Berlin,Berlin,cust_01160,Stone Serving Platter,Kitchen,Aurora Kitchen,SKU-0010-01,Charcoal,1,28.1,0,28.1,34,EUR,web
#3385,2026-05-05,paid,fulfilled,Spain,Andalucía,Málaga,cust_00030,Oak Chef Knife,Kitchen,Aurora Kitchen,SKU-0011-01,,2,33.15,0,66.3,107.07,EUR,mobile
#3385,2026-05-05,paid,fulfilled,Spain,Andalucía,Málaga,cust_00030,Marble Bath Towel Set,Bath,Pure Bath,SKU-0057-02,Natural,1,25.7,3.51,22.19,107.07,EUR,mobile
#1096,2025-08-14,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00890,Terracotta Woven Basket,Decor,Casa Bonita,SKU-0043-01,Small,1,17.85,0,17.85,99.73,EUR,web
#1096,2025-08-14,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00890,Marble Bath Towel Set,Bath,Pure Bath,SKU-0057-02,Large,2,25.7,0,51.4,99.73,EUR,web
#1096,2025-08-14,paid,fulfilled,Germany,Hamburg,Hamburg,cust_00890,Marble Cutting Board,Kitchen,Aurora Kitchen,SKU-0002-03,,1,13.17,0,13.17,99.73,EUR,web
#1980,2025-11-20,paid,fulfilled,Spain,Galicia,A Coruña,cust_00730,Brass Ceramic Vase,Decor,Casa Bonita,SKU-0049-01,,1,16.22,0,16.22,19.63,EUR,web
#3086,2026-03-23,paid,fulfilled,Spain,Cataluña,Barcelona,cust_00440,Terracotta Outdoor Cushion,Outdoor,Terra Garden,SKU-0060-01,,1,23.39,0,23.39,28.3,EUR,web
#3625,2026-06-05,paid,fulfilled,Italy,Lazio,Roma,cust_00384,Oak Chef Knife,Kitchen,Aurora Kitchen,SKU-0001-01,Large,1,24.54,2.51,22.03,81.84,EUR,web
#3625,2026-06-05,paid,fulfilled,Italy,Lazio,Roma,cust_00384,Brass Ceramic Vase,Decor,Casa Bonita,SKU-0049-02,,2,16.22,0,32.44,81.84,EUR,web
#3625,2026-06-05,paid,fulfilled,Italy,Lazio,Roma,cust_00384,Marble Cutting Board,Kitchen,Aurora Kitchen,SKU-0002-03,,1,13.17,0,13.17,81.84,EUR,web
#1017,2025-08-03,paid,fulfilled,France,Occitanie,Toulouse,cust_00181,Linen Reading Light,Lighting,Lumen Co,SKU-0036-01,Natural,1,30.35,2.58,27.77,33.6,EUR,web
